no. with space,sender,message,date,geolat,geolon
96,ReineirMora,ingat tita @ dorisbigornia jan sa legazpi . # tvpatrol # yolandaph,Thu Nov 07 20:14:42 CST 2014,14.5869686,121.0333004
97,aejypsy,infairness prepared na prepared na ang mga pinoy to welcome yolanda .,Thu Nov 07 20:24:10 CST 2014,13.8414282,121.1653392
100,jhamo_cpa21,walang pasok dahil kay yolanda !,Thu Nov 07 20:25:10 CST 2014,13.9430111,121.1316795
104,siixft,fix ur shit man @ yolanda,Thu Nov 07 20:26:11 CST 2014,14.6698303,121.0800858
107,Bitchylynnnnn,putang inanhg yolanda - _ _ _ -,Thu Nov 07 20:33:59 CST 2014,14.5156247,121.0474201
108,copewithsophiaa,so kung kelan malapit na histo tour tsaka dadaan si yolanda : &apos; ( aw,Thu Nov 07 20:34:10 CST 2014,14.5587616,121.1053648
109,mrcdshon,talkshit ata tong si yolanda,Thu Nov 07 20:35:05 CST 2014,14.4359739,120.9867546
113,jrreguyal21,college students handa na ba kayo sa pakikipaglaban bukas kay yolanda ?,Thu Nov 07 20:49:31 CST 2014,14.4275752,120.9959766
117,ramosromana49,@ imrichardyap08 evening po.malakas daw po ang bagyong yolanda sc pahinga na po wala pa kayong pahinga 2 1 / 2 day po na walang tulog.am pity,Thu Nov 07 21:15:52 CST 2014,14.6819465,121.0349250
118,DaaaavidM,pag ikaw yolanda nangtitrip ka lang ah ! sasapakin kita haha,Thu Nov 07 21:27:58 CST 2014,14.5533400,120.9948700
120,cedrickcapati,@ aybikalyaw kaya nga i suggest you go home na nobody knows what will happen about mareng yolanda,Thu Nov 07 21:32:27 CST 2014,14.3795060,121.0478729
121,Dingdong911,because we &apos;re stronger than # yolanda tuloy ang ligaya ! @ spitmanila # improv thursdays,Thu Nov 07 21:45:24 CST 2014,14.6242060,121.0260961
124,BrookeInManila,@ soleika14 pau cancelled daw concert ng matchbox twenty due to thypoon yolanda .,Fri Nov 08 00:57:13 CST 2014,14.6075400,121.0045800
125,NikkiServando,@ grezelalfoneth pakita si yolanda satin sa manila bukas para my habagat part 4 !,Fri Nov 08 01:00:55 CST 2014,14.5657614,120.9976990
127,chrstnzakery,@ kasyosdc @ novemverrr just fukkin suspend classes . make it hollyday . berbert hautista pls make nov 8 yolanda day . hollyday get dolla day,Fri Nov 08 04:40:02 CST 2014,14.6676880,121.0304399
128,tanjohnRN,because of typhoon yolanda . cancelled flight namen bound for kalibo : ( no more boracay trip for this month .. haaayyy refund ko na lang .,Fri Nov 08 04:59:35 CST 2014,14.6064100,121.0083900
135,lorielrevisaxxx,ayan na si yolanda !,Fri Nov 08 11:09:36 CST 2014,14.5752953,121.0154057
139,stefmonce,“ @ jymntclr : just heard that super typhoon yolanda is the world &apos;s largest typhoon this year . keep safe everyone ! ” woah,Fri Nov 08 11:11:57 CST 2014,14.4009927,120.9844131
144,anajorimae,wag nyo ng hintayin ang bagyo utang na loob yung iba kulang nlng mgcountdown pa &#124; ~ feeling tuloy ni # yolandaph welcome sya sa pinas . # istopet,Fri Nov 08 12:02:38 CST 2014,14.7341758,120.9563447
147,cheersbabyangel,this is the right time to announce suspensions . the yolanda typhoon was recorded as the biggest typhoon on earth ! ! ? ? ?,Fri Nov 08 12:38:25 CST 2014,14.5411836,120.9927947
149,TsinELIAS,sana lamunin na ni bagyong yolanda si janet napoles,Fri Nov 08 13:22:39 CST 2014,14.3870749,120.9891529
152,TheMockingJACE,pati si yolanda ang lakas maka-miss world ... strongest typhoon of the year ang peg # yolandaph,Fri Nov 08 14:12:02 CST 2014,14.7036196,121.0496912
154,HnnhCzrn,what a very very good news ! ! ! ! : ) see you ! ! ! hihi # excited # goawayyolanda @ triixaa,Fri Nov 08 14:59:32 CST 2014,13.9603477,121.6009118
158,MsAir_,felt yolanda &apos;s presence in calamba earlier # yolanda # typhoonyolanda,Fri Nov 08 18:28:07 CST 2014,14.2792444,120.8691139
159,tinthepiggy,ayan na si yolandaaaaaaa,Fri Nov 08 19:26:29 CST 2014,14.6864069,120.9873293
160,Dingdong911,awesome 1st set ! @ spitmanila ansabe ni # yolanda ? ? ? # improv,Fri Nov 08 20:12:19 CST 2014,14.6242010,121.0258841
163,che_eesylicious,oh noh .... typhoon yolanda pls go away ...,Sat Nov 09 00:35:26 CST 2014,14.7587819,120.9697216
169,KarlPeig94,sana mawala na si yolanda ....,Sat Nov 09 07:05:06 CST 2014,14.6095600,121.0493108
170,nyllovesyou,@ willardlapus @ iamkrista15 ay opo momsie . nagpost na po ako sa fb ng status .. hahaha tignan ko lang kung nde maloka si yolanda ..,Sat Nov 09 07:48:48 CST 2014,14.4340754,120.8913658
171,mnbarrios18,our prayers for the victims of typhoon yolanda ... even our hometown madalag aklan was also seriously affected .,Sat Nov 09 19:21:54 CST 2014,14.5724359,121.0544576
172,mhorz,spending my time reading news about # yolanda and it &apos;s heart wrenching . no more typhoon pls .,Mon Nov 11 15:07:43 CST 2014,14.5512685,121.0657259
173,joemarLosaria,kaluya ah. can &apos;t seem to focus on work and all . # heartbreakingnews # yolandacasualties,Mon Nov 11 15:09:56 CST 2014,14.5911663,121.0629112
174,bugsycutee,waiting for their noodles loads and then pwede ng ma-ship to the visayas for distribution . # yolandaph … http : / / t.co / dhldlbrmdq,Mon Nov 11 15:14:23 CST 2014,14.5134635,121.0040403
175,bugsycutee,dumating na ang mga kaklase ko from the bfp ! pwede kaya humingi ng tshirt ate ? # yolandaph # dswd … http : / / t.co / zyf86bp2to,Mon Nov 11 15:18:47 CST 2014,14.5134635,121.0040403
176,veimedina,prayers and sympathy to the victims of super typhoon yolanda .. god bless everybody . keep the faith .. # godbless,Mon Nov 11 15:25:35 CST 2014,14.9573939,120.4772760
178,janeblossom,hain ka na daw la . ? # typhoonyolanda nakakastress ka ?,Mon Nov 11 15:36:14 CST 2014,14.6523249,121.0240374
180,ItsMeShaneelle,pagkatapos ni yolanda si zoraida naman ? waaah lord tulong po : ( ( (,Mon Nov 11 16:11:22 CST 2014,14.6453940,120.9753349
181,GeaDaza,taenang yolanda yan . grabe . _ .,Mon Nov 11 16:16:12 CST 2014,14.5972336,120.9916119
182,armudack,“ @ karen _ davila : sana kahit ang mayor hindi kapartido tulungan ito . we need servant leaders now . # yolandaph ”,Mon Nov 11 16:24:54 CST 2014,14.5727794,121.0085051
183,den_damsel,my sincere prayers to the victim of # yolandaph,Mon Nov 11 16:32:17 CST 2014,14.5996660,121.0038070
184,shielaferrer089,# name ?,Mon Nov 11 16:32:41 CST 2014,14.5566716,121.0854368
186,aejaymallari,dapar gamitin sa tama yung mga tulong na binibigay sa pilipinas # yolandaph,Mon Nov 11 16:46:23 CST 2014,14.8486916,120.8121604
189,taeny090,: pinoy : yolanda kailan ka aalis dito sa pilipinas ? yolanda : hindi ko po alam ! # napoleszoned &quot;,Mon Nov 11 17:13:49 CST 2014,14.4340727,120.8850865
190,Joseph_Morong,help is on the way . volunteers help repack relief goods at d dswd oper &apos;n center @ gmanews @ stateofdnation # yolandaph http : / / t.co / sqsn92fcie,Mon Nov 11 17:16:29 CST 2014,14.5132090,121.0039870
191,rahelchristian,aduh typhoon yolanda kamu bikin aku sengsara deh . - _ _ _ - &quot;,Mon Nov 11 17:17:07 CST 2014,14.5698400,121.0282800
192,AddictusRunner,to my friends overseas please extend your kindness through this : # help # typhoonyolanda http : / / t.co / vzuwkxnb7w,Mon Nov 11 17:24:16 CST 2014,14.6171952,120.9985768
193,joycebaterna,katatapos maglinis ng iniwan ni yolanda . # sipag,Mon Nov 11 17:27:41 CST 2014,14.9203327,120.2215853
196,ChristineCumpio,? ? ? ? why yolanda why ? ?,Mon Nov 11 17:39:09 CST 2014,14.7423710,121.0360720
197,arniecvlz,# prayforphilippines # yolandaph @ mnl http : / / t.co / roqycohq2k,Mon Nov 11 17:40:44 CST 2014,14.5529583,120.9945300
198,ranniegonzaga,@ bingbee17 @ cutiejoy319 @ psychel1206 @ lifealagigi @ zarcastillano wawa naman sinalanta ni # yolanda,Mon Nov 11 17:47:23 CST 2014,14.1062370,121.1594958
199,Leo_Kareem,lets all help the victims of yolanda even in our own little way ... really heartbreaking ?,Mon Nov 11 18:01:16 CST 2014,14.5500747,121.0469711
200,hannahbie,aw kakalabas lng ni yolanda may zoraida nmn na kasunod na bagyo,Mon Nov 11 18:03:27 CST 2014,14.6867861,120.9852307
201,chocoholiccynic,@ philredcross we want to donate goods for the yolanda ph victims . is there a place in qc where we can drop them off ?,Mon Nov 11 18:13:56 CST 2014,14.6621981,121.0611120
202,arielmarquez,young volunteers . # yolandarelief @ victory christian fellowship alabang http : / / t.co / 5ewynd62yp,Mon Nov 11 18:13:57 CST 2014,14.4162688,121.0399126
203,abi_ong,pinoy ka ba ? your country needs your help . now . # help # yolandaph # yolandarelief # pray # give # donate,Mon Nov 11 18:19:43 CST 2014,14.6337898,121.1008782
205,danvickchato,sana walang magnanakaw sa mga donations na natatanggap ng pilpinas . # yolanda,Mon Nov 11 18:46:53 CST 2014,14.3358100,120.9839500
206,HighhJeybiHighh,grabe . kawawa talaga mga nabiktima ng yolanda . pati mga tao nadedemonyong kumupit ng mga paninda sa mall -.-,Mon Nov 11 18:47:25 CST 2014,14.5282533,121.1649474
207,tolentinojulio,bagsik ni yolanda ? ?,Mon Nov 11 18:56:02 CST 2014,13.7798035,121.0613608
208,giapablo,akala ko ba tapos na yung yolanda ? bat ang lakas ng hangin,Mon Nov 11 19:07:23 CST 2014,14.5278520,121.0624385
209,cheezy_ash,bagyong zoraida nnman after yolanda,Mon Nov 11 19:09:19 CST 2014,14.6645508,121.0440445
211,Cielo_Briones,seing the effect of typhoon yolanda / haiyan breaks my heart : ( hayyst ! ! ! # prayforthephilippines,Mon Nov 11 19:28:54 CST 2014,14.5820962,120.9831766
