date,question,text,tweetid,userid,username
 Wed Dec 05 11:45:40 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @loraine_jan: Watching the pictures how #PabloPH damaged my hometown makes me feel so sad. Pls help our hometown #helpMONKAYO @Karen_ ...,2.76E17,409225883, abao_mary
 Wed Dec 05 11:45:56 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, IMPACT PHILIPPINES:(DEVELOPING)Compostela Valley Davao Oriental appear to be hardest hit by #PabloPH if based (cont) http://t.co/PkdxLJRG,2.76E17,501359246, PHLPrimeNews
 Wed Dec 05 12:19:02 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @MariRamosCNN: Here is the link to the ireport I just shared with you on #CNN http://t.co/QCjBVb4q #Typhoon #Bopha #Philippines,2.76E17,479571055, EnigmaticMemory
 Wed Dec 05 12:21:09 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, [PAGASA] SEVERE WEATHER BULLETIN NUMBER THIEEN TROPICAL CYCLONE WARNING: TYPHOON â€œ#PabloPHâ€ù (BOPHA) ISSUED AT 5:00... http://t.co/vFP9j5Dq,2.76E17,886167799, CheckPHWEATHER
 Wed Dec 05 12:38:44 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Las imÃ¡genes de las vÃ_ctimas del tifÃ_n #Bopha son tremendas pero nadie nos dirÃ¡ nada. http://t.co/hieHmv7D,2.76E17,266179165, rumarumadai
 Wed Dec 05 12:31:42 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," Apl.de.Ap who's 1 of the Presidential Awardees for 2012 performs to a delighted crowd. http://t.co/wZBUJT7Y"" poor Mindanaoans #PabloPH!!",2.76E17,38725726, MrJakeRamirez
 Wed Dec 05 12:27:40 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Typhoon #Bopha has killed over 230 people & forced 50000 into evacuation centres @planuk is responding http://t.co/2RQY5u0I #PabloPH,2.76E17,25488827, decappeal
 Wed Dec 05 12:52:21 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @CheckPHWEATHER: [NEWS] #PabloPH victims call out for help: #RescuePH | Read: http://t.co/R0pe11DV,2.76E17,79548588, Leerla73
 Wed Dec 05 12:37:04 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, noynoyaquino:  @dost_pagasa: At 06:00PM 5/DEC/2012 the eye of Typhoon #PabloPH was located at 135km Northwest of... http://t.co/CaH1cwbc,2.76E17,77363670, NoelFCristo
 Wed Dec 05 12:35:06 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Palace statement on #PabloPH relief operations: http://t.co/fRJYervE,2.76E17,39453212, gmanews
 Wed Dec 05 12:52:16 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  â€œ@MariRamosCNN: FOTOS #DAÃ‘OS producidos por el #tifÃ_n #Bopha en Filipinas => http://t.co/yfQTq3N7  http://t.co/p6PifT9o #CNN #ireportâ€ù,2.76E17,491346822, MeteoAste
 Wed Dec 05 12:57:36 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #PabloPH  @ABSCBNNews: PH bids good riddance to 'Pablo' http://t.co/q8Mb2Urd,2.76E17,66798277, Lopez_Muse
