date,question,text,tweetid,userid,username
 Wed Dec 05 09:40:14 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Marcos Bridge in Cagayan de Oro at 3:40 PM yesterday. #PabloPH http://t.co/67S90Qc6,2.76E17,404852322, incdo
 Wed Dec 05 11:07:21 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @vc2riousLei: Houses with no roofs in Agusan Sur. Photo by Arlo Ramos @WorldVisionPh staff. @YouScoopGMA #PabloPh #Bopha http://t.co ...,2.76E17,196615830, quillpaperink44
 Wed Dec 05 11:10:39 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @sahnetaeter: Missing beloved ones after #typhoon #Pablo? @google launched person finder http://t.co/a2X54Jwe #bopha #reliefPH #hmrd,2.76E17,86921800, pnsidh
 Wed Dec 05 05:11:58 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @DigitalTyphoon: Üó�Î�Á_¢Â_€ƒÎæ±ÜóïÎ�Á_¢Â201224Î�‡¥_šBOPHA¥_ŠÜ�¿12_ìš5_„«12_»‰(JST)Ü�‚Ü�¿Îë„�‡¿10.2Î__Üó�_�±�µë119.4Î__Ü�‚Ü�‰Ü�£Ü�_Üó�_Ÿ_ÎË€Ü�¬_Á„Îì_Ü�¿975hPaÜó�_ìóÎ___¢Â_óôÜ�¿35Ü€çÜ€_Ü€šÜ€‚Ü�_Ü�»Üó‰ http://t.co/sjxddU25 #bopha # ...,2.76E17,266020612, taborix
 Wed Dec 05 05:18:22 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Pablo's gone! Hello there sunshine! ä_ƒ_ôëš #mr.sun #sunshine #clouds #PabloPh #beautifulday #hope #blessed #tha http://t.co/UNtHzhRm,2.76E17,237126944, iamjaneyC
 Wed Dec 05 05:18:59 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @GawadKalingaHQ: For those that want to help we accept cash donations online bank deposit. Details here: http://t.co/40eCnbBS #PabloPH,2.76E17,62224780, juLiusbabao
 Wed Dec 05 05:22:55 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Mga nasirang bahay dahil inanod ng malakas na ulan at hangin dulot ng #PabloPH sa Monkayo Compostela Valley: http://t.co/Lbmu92mo,2.76E17,538843820, YouScoopGMA
 Wed Dec 05 05:33:03 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Thank u @rapplerdotcom @maria_ressa for quoting me in an article. It truly was a very terrifying ordeal. Will share photos videos #PabloPH,2.76E17,1580681, mindanaoan
 Wed Dec 05 05:33:32 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, All warning signals in Mindanao lifted as 'Pablo' weakens #PabloPH http://t.co/OMiNVpJT,2.76E17,14741049, shiereyes
 Wed Dec 05 07:47:30 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," ""@AP: BREAKING:Philippine officials say the death toll from Typhoon #Bopha has risen to more than 200 people: http://t.co/A4Co6S1b""",2.76E17,31087423, PKinbangkok
 Wed Dec 05 08:06:39 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @AistConcierge:  pray! @AP: BREAKING:Philippine death toll from Typhoon #Bopha has risen to more than 200 people: http://t.co/oT4 ...,2.76E17,198446555, iloveDominiqueR
 Wed Dec 05 08:13:43 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, MT @pat_fuller: #redcross delegate in Cagayan de Oro Alexander Mikadze for interviews #Typhoon #Bopha +63 9282277326. http://t.co/y76sY64X,2.76E17,16025112, Federation
 Wed Dec 05 07:55:37 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Üó�Î�Á_¢Â_€ƒÎæ±ÜóïÎ�Á_¢Â201224Î�‡¥_šBOPHA¥_ŠÜ�¿12_ìš5_„«15_»‰(JST)Ü�‚Ü�¿Îë„�‡¿10.5Î__Üó�_�±�µë118.6Î__Ü�‚Ü�‰Ü�£Ü�_Üó�_Ÿ_ÎË€Ü�¬_Á„Îì_Ü�¿975hPaÜó�_ìóÎ___¢Â_óôÜ�¿35Ü€çÜ€_Ü€šÜ€‚Ü�_Ü�»Üó‰ http://t.co/sjxddU25 #bopha #TY201224,2.76E17,12394852, DigitalTyphoon
 Wed Dec 05 05:44:53 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," äóì@dost_pagasa: SEVERE WEATHER BULLETIN #12TROPICAL CYCLONE WARNING: TYPHOON ""#PabloPHäó� (BOPHA) 11:00 AM 05 (cont) http://t.co/eX1JUWJ3äó�",2.76E17,15448383, inquirerdotnet
 Wed Dec 05 06:05:36 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @HUMNEWS: äóì@RANews: Death toll fr/Typhoon #Bopha now stands at 97 with hundreds still missing in #Philippines http://t.co/FLvERS6Gäó� u ...,2.76E17,374190254, HUMCLIMATE
 Wed Dec 05 00:37:01 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, via @Estacion_bcp: Tifí_n #Bopha afecta en Filipinas Ocí©ano Pací_fico (4/12/2012) VIDEO: http://t.co/3b7JjVeK,2.76E17,193914843, COVEMET
 Wed Dec 05 00:10:03 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," Prolly the saddest story out of the #PabloPh coverage ""Soldier drowns 20 others missing in ComVal"" http://t.co/exkULahy",2.76E17,78213061, ellobofilipino
